Year,Month,Latitude,Longitude,Water_Temp_C,Salinity_PSU,pH,Dissolved_Oxygen_mgL,Chlorophyll_mg_m3,Fish_Species,Fish_Abundance,Fish_Length_cm
2021,3,12.831,71.507,26.0,33.69,8.03,3.67,1.72,Mackerel,25,64.18280655040599
2014,1,16.881,76.114,27.12,34.65,7.94,7.51,0.22,Anchovy,46,79.67753125103363
2010,8,17.53,73.818,23.66,33.52,7.97,4.14,1.82,Mackerel,29,63.50746693885302
2021,3,15.433,75.369,23.26,34.26,8.05,7.0,2.12,Snapper,49,98.52739092254468
2019,3,14.269,79.706,23.91,33.19,8.49,6.69,1.72,Tuna,48,99.09351387631033
2015,1,15.741,77.454,22.47,37.38,8.06,3.66,1.89,Mackerel,35,60.17344535522049
2022,11,16.298,77.894,25.22,33.86,7.85,3.71,1.59,Anchovy,28,80.90972456051594
2021,5,9.132,86.884,24.14,33.69,8.11,7.43,2.46,Tuna,67,94.13378175014489
2018,10,13.175,88.6,27.46,33.01,8.14,7.21,2.03,Sardine,61,42.59331797502379
2010,7,11.39,71.408,22.42,33.84,8.11,5.12,2.48,Tuna,41,87.27564938060114
2020,10,19.244,74.178,28.11,34.26,8.26,5.12,2.61,Tuna,51,93.31706975550786
2020,9,14.584,83.423,23.04,34.93,8.11,6.51,0.91,Mackerel,46,69.28730617934562
2024,12,21.768,77.173,22.52,34.03,8.25,5.99,1.61,Mackerel,36,71.42533289997705
2019,7,13.584,75.083,23.35,32.6,7.94,7.05,1.69,Mackerel,55,70.08884140594985
2021,9,19.43,75.906,28.9,32.73,8.46,6.48,3.29,Mackerel,64,71.3387585880588
2021,8,19.177,76.451,24.92,36.02,8.15,7.58,2.07,Sardine,70,39.155481522053556
2024,12,10.11,86.973,26.06,34.82,8.18,6.97,2.41,Tuna,72,93.33039004816285
2023,2,15.115,72.732,24.63,35.97,7.94,6.72,1.06,Sardine,56,35.75377895802645
2023,1,17.741,84.178,24.82,36.17,8.19,5.65,2.07,Mackerel,57,66.37780614520106
2024,7,20.017,81.056,23.99,35.23,8.23,5.57,2.49,Snapper,56,93.59761113109458
2023,7,12.563,75.93,25.1,33.15,7.87,5.95,2.43,Tuna,59,100.94709144784231
2012,8,11.083,78.396,25.99,35.28,7.77,7.84,2.31,Mackerel,71,62.71279922318632
2021,5,17.956,75.124,28.36,37.1,8.16,5.59,2.01,Mackerel,47,71.99341984697398
2016,3,19.333,82.23,21.25,34.33,8.0,6.26,2.03,Sardine,43,35.56858859791842
2013,12,12.881,71.632,28.22,35.51,8.15,3.76,1.15,Anchovy,14,74.83038999847021
2018,8,9.346,70.104,26.06,34.98,7.84,6.68,1.55,Sardine,56,43.23338144420434
2012,6,21.167,82.558,24.26,37.06,7.79,8.26,2.12,Anchovy,71,86.18099761247976
2014,11,13.566,73.885,23.9,33.98,8.14,5.07,1.64,Snapper,36,92.168400595581
2012,3,15.249,71.419,27.09,36.73,8.03,9.17,2.34,Sardine,82,39.22091238388681
2016,1,19.728,77.936,25.46,34.44,7.68,6.18,2.23,Tuna,55,98.03293812074392
2014,3,17.46,71.015,21.93,33.96,8.37,3.43,2.68,Snapper,33,86.85531715701784
2018,5,18.293,87.732,25.73,35.16,7.84,5.61,2.48,Sardine,56,44.0967256356118
2016,3,10.927,70.552,27.29,35.51,8.61,7.33,2.11,Tuna,57,99.21212881077354
2011,1,15.58,81.577,26.72,37.87,7.98,8.0,2.37,Anchovy,62,81.14270511668092
2013,5,17.741,78.769,23.75,35.48,8.18,6.72,2.5,Snapper,67,83.81332512996985
2018,10,11.2,83.441,22.32,35.29,8.43,7.57,1.75,Anchovy,56,73.27396687959664
2021,7,10.449,76.563,24.35,37.39,8.4,4.82,1.84,Anchovy,40,81.609629111971
2023,7,21.75,73.101,31.51,35.9,8.5,5.32,1.95,Anchovy,15,88.4412001428541
2011,11,15.233,89.637,21.91,34.03,7.8,4.32,1.76,Tuna,33,95.44294939209834
2019,9,11.652,86.779,23.31,37.03,7.87,5.39,2.51,Tuna,49,102.81566448946012
2018,10,21.948,87.208,25.78,33.89,8.15,6.76,1.69,Anchovy,46,81.96518012523818
2019,10,21.516,75.005,24.75,34.03,8.27,6.21,2.63,Tuna,65,96.14840122697437
2014,12,15.816,70.777,24.6,33.73,8.1,6.87,1.82,Sardine,65,41.52297802754207
2011,3,20.357,76.065,29.05,33.6,7.77,5.06,2.24,Sardine,32,47.947182832329844
2013,7,10.642,80.742,23.29,35.5,8.2,5.12,2.08,Sardine,42,37.20986980445024
2021,1,11.904,76.533,24.97,34.61,8.06,6.2,1.51,Mackerel,58,76.96121827907004
2024,4,17.805,86.557,25.4,29.78,8.06,5.4,1.99,Sardine,57,25.59827447955128
2021,4,19.853,75.431,23.39,34.6,7.64,7.3,2.17,Snapper,61,93.7555125218761
2016,5,19.989,89.305,22.12,34.22,8.26,5.37,1.97,Sardine,25,37.456235341190855
2021,7,13.663,79.145,25.54,36.34,8.13,5.5,1.33,Anchovy,48,77.17396324767066
2022,7,20.429,86.84,28.63,34.16,8.46,6.42,2.85,Sardine,52,42.04880388267751
2017,11,19.913,73.888,25.81,38.81,8.09,5.61,2.04,Tuna,59,89.18915542699553
2024,4,21.099,78.227,25.18,37.1,8.21,4.77,1.6,Snapper,41,86.74164056081244
2012,7,18.995,83.99,25.17,34.42,8.27,4.9,2.81,Mackerel,51,70.11356285755873
2023,11,17.366,72.767,24.48,36.72,7.75,6.54,2.31,Tuna,61,106.86247022370758
2010,3,16.13,72.655,27.37,35.79,8.62,4.64,1.4,Sardine,20,36.153648908631766
2013,6,13.212,89.391,23.99,35.35,8.01,7.4,1.48,Tuna,57,95.79653198553407
2011,12,21.162,84.292,22.29,36.2,8.2,5.31,1.89,Sardine,35,34.51321478207731
2017,2,21.631,70.821,21.84,35.08,8.23,6.62,2.15,Snapper,41,92.76201058851038
2013,10,11.975,77.976,25.16,35.36,7.94,5.37,2.31,Sardine,56,40.286755548298416
2011,9,12.275,78.67,27.12,36.24,8.47,5.08,2.48,Anchovy,39,76.7351989811648
2023,5,14.799,84.881,25.47,38.08,8.15,6.25,2.27,Tuna,59,102.23233716556678
2015,6,14.278,75.017,24.37,35.38,8.06,7.05,2.67,Mackerel,69,70.5213877467402
2015,12,21.922,73.687,25.92,34.32,8.13,5.75,2.06,Sardine,45,44.171224952664446
2019,12,10.463,71.617,25.37,31.96,8.25,5.93,1.62,Sardine,39,35.59073453061324
2013,12,8.253,78.566,26.65,37.94,8.1,6.81,2.0,Mackerel,60,69.09668926701116
2015,12,14.915,83.77,27.65,34.61,8.28,6.84,1.97,Anchovy,58,79.2954592343392
2022,4,10.504,71.164,23.09,35.8,7.76,5.96,0.71,Sardine,37,30.40042525933941
2024,11,13.131,88.304,20.32,37.86,7.95,5.56,1.72,Mackerel,26,67.71660138532289
2011,10,18.418,78.847,24.3,35.34,7.67,6.08,2.16,Sardine,54,40.18327636089945
2019,7,18.093,74.796,22.96,34.71,8.5,5.81,1.79,Tuna,34,97.85256728321232
2021,12,12.313,71.877,26.66,37.13,8.5,6.31,1.68,Sardine,40,38.97106433312426
